	a	b	c	d	e	f	g	h	i	=	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z	^	!	""""	#	$	%	&	'	(	)	+	2	3	4	5	6	7	8	9	0	>	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	Y	Z	~	?	_	|	/	\	@	{	}	[	]	:
a	144.76761586678768	2.3325199535057606	0.979911881731983	0.6849477546326258	0.6430192769683418	0.5379203683362376	0.37994029704508686	0.4526299718941025	0.6292440760559569	0.21423513500032215	0.5046260211042417	0.3933124059803861	0.6525186553319279	0.5903756271977105	0.738893397726924	0.7689615278677827	1.7026731170179004	5.036281549062671	0.8485627580943041	0.45176922468706443	0.6878956297793024	1.0800235907352185	1.0931577698605903	0.2728701483430295	2.9352927997688774	0.862570588022473	1.2634202179278946	1.7758389122826281	0.9049659358229218	1.9808752119133382	1.627095948926983	1.7860919337801013	0.5312037830446565	1.239448941857149	1.4926355692319462	0.8664553761052597	1.208825412045969	1.5140395101323474	1.7356192767925167	1.6641892143488906	1.3324085673823123	1.3069603127611273	1.2157022667463457	2.41075209212261	1.3388218565055312	0.26756630919335855	2.0749136752001234	0.8136459720417493	0.7430495805827515	0.7590371370371809	0.3107516345479815	0.5068421741244339	0.13770858381995094	0.3742824511153458	0.43817049655107077	0.09047713896622003	0.8673277753188251	1.2793540251874191	0.7688937527609712	0.9251401271479975	0.6103330003641196	0.7806882224122569	2.6403816331279972	0.8488384085320728	0.4845759100426316	0.6459607566046558	0.35239794596553803	1.6840962822383907	0.623200394375297	0.9140473077489175	0.6423172784126491	1.4928329022624176	0.6420341131877683	1.5838818782286657	0.7505700318177605	2.0825040521106346	0.6463823102852765	0.48732337666158887	0.5469485386583922	0.6994595751588798	0.4962024877848897	1.3005187220254943	0.55795557685329
b	2.3325199535057606	25.822980744295595	1.4887763150404347	0.8524626387826103	0.6785895520204154	0.6618694317871674	0.6618704327342496	0.37503691177569554	0.5895255783442166	0.24021838448157753	0.4263972878354082	0.3426601499225558	0.48843094813856724	0.5347414710307704	0.4109331190051667	0.6396400149227753	0.6943842600202716	0.6489821189516002	0.8240060216734495	0.8806701987562131	1.1871559667329814	1.112792008075819	1.9375367460236503	0.5812013316100368	0.744441230330449	1.0779851788007544	0.849182116387568	0.8663130664543385	0.7801378822738239	1.9009977669422358	4.958034442770973	1.5357653219892855	0.33892895334698775	1.8950713299790194	4.274741933996708	1.0548673203714243	1.0050812286598343	0.8495381893494699	0.9979459371270478	2.145949862273612	5.6939136241835175	1.4362215497126216	2.0211254231018962	1.2434531062840464	3.64791986235501	1.022118271954095	1.8452231675273731	1.3299030309635174	0.9032075726129681	1.0466295633247207	0.8652324635440678	0.7845064874808485	0.1922806574892113	0.3699537668056976	0.4754565573179848	0.11089477179053682	0.9370927518410379	1.4021996961423444	1.2761196961403927	0.958374649263623	0.7723513882624768	0.9845620907610085	0.4179922662790629	0.8041708214713702	0.848016403877099	0.624718354462596	0.1947481994123029	1.3029718569612065	0.4592049265784501	0.8971732670869117	0.902555299936338	2.187423112767853	1.4093917447793265	0.8516548995582511	1.652740660131454	0.7830114112878793	1.399091625333429	1.8787788275746613	1.1317411093513166	0.8068228550689994	0.7394900480703153	0.9899089205397036	0.5520816100956394
c	0.979911881731983	1.4887763150404347	10.730474444634181	1.288084899493753	0.5957313552044878	0.5596947605906932	0.3397242290898742	0.2916670000819555	0.32206282686499066	0.1595861989003883	0.23667901689901516	0.1851372237657167	0.2556473879320041	0.4037743188795058	0.23186110716225597	0.4184395373360146	0.3847044059814886	0.3662120904404933	0.22053646700361018	0.2895804328986535	0.8077397590920798	0.6061351942806885	0.9472660255541338	0.7943847013642513	0.74212405618038	0.8455744319193511	0.5816004360079727	0.5287690473556045	0.5171494736923976	1.1260539474981304	0.6221913800857909	0.5868313590178301	0.1831876278801566	0.9319522846218364	0.8962796440472489	0.5899110992777913	0.6804904498759181	0.4643109488875516	0.6638725130145733	0.8302029827219084	1.071150373004115	0.8279603897491361	0.906385604074568	1.5236080314444287	1.3242330863162985	0.3894068832678772	0.958042163400298	0.8817332856132535	0.8537018615940296	0.9078035138006117	0.812830779832179	0.5641379567842981	0.1260937257069999	0.32320493024014585	0.39549001962106123	0.09289297573188508	0.5378117280569659	0.7141935122877112	0.5535528541250956	0.812902342750152	0.3688459475190408	1.1222332597113196	0.958292425740274	0.329612095631235	0.22451562197973512	0.3391942970674712	0.43539841681838576	0.8895216306602237	0.03849915531263242	0.6388191254583239	0.5329133737668016	1.2077809066842529	0.6762479613769267	2.118249260425987	1.0459669941885934	0.5375097121912699	1.6771126487462515	0.49565971215395943	0.6684976808993971	0.669376563525589	0.4814428694502721	0.8194200606269957	0.6344050404025804
d	0.6849477546326258	0.8524626387826103	1.288084899493753	7.7152613908203405	0.8703053451072325	0.501299032737556	0.3712864099229885	0.2587816094099686	0.25959727206597194	0.10886598745252198	0.21739836394657544	0.13181883302608355	0.26260224943984	0.3201580279650732	0.1828114699981271	0.2882142954016716	0.1724548987732304	0.2793344812609582	0.1540996840559682	0.2750343953875443	0.7628292642892013	0.40968468250465795	0.613090345219913	0.6159598378648269	0.7052279941127164	0.7274980927540796	0.31888561867752724	0.36348664045445667	0.25706092259445196	0.5310011400540334	0.47196379814968276	0.23486941764780947	0.09222449833986844	1.4539274215904539	0.8102727295799469	0.5226995333146854	0.539199230761409	0.34186871164199556	0.42054749375680833	0.9629919641272172	0.6483633960052189	0.8125446452305086	0.7622915307927418	0.9858047016780159	0.8099242801532708	0.14027909562524596	0.5965477316624391	0.6906979109832766	0.7045791445985694	1.1633372658786987	0.4238274286606601	0.47577532952267104	0.11511431498192626	0.2764864947283389	0.3356593279669961	0.06933625901650747	0.4896873137702947	0.5179587247517454	0.4417424384004901	0.8089757151099397	0.3577005002212332	0.5417239097792231	0.8971477400132228	0.4200841896602693	0.34903509370118135	0.18832719621007218	0.08460955070270572	0.3234766409091882	0.08550188536975245	0.6624014094164535	0.4859666483429014	0.5868902441613847	0.6742236625338096	0.6734513463714229	0.9483440470617751	0.810179616116522	0.7066878691807145	0.6059171376174748	0.7247379690811651	0.6040118344586016	0.482659521401928	0.7039872932615505	0.33909478521913483
e	0.6430192769683418	0.6785895520204154	0.5957313552044878	0.8703053451072325	6.081062268888204	1.1751454071418748	0.4497283255811197	0.2692536026912658	0.3994313557182762	0.11301197977013439	0.09323219992206365	0.10107915527391192	0.1951947386437708	0.24255621311156306	0.12756114096715143	0.310734272682168	0.23296306028801025	0.20075699234210606	0.1253804043338239	0.26325360568974926	0.2386705099650596	0.18448273376916946	0.8304316174601384	0.38142512497334335	0.6263598310149961	0.8237717290439215	0.40785579829306384	0.3669107250741266	0.445575023332658	0.7415305936507577	0.8699139689065332	0.19664529363360006	0.05800124806723639	0.4373228237771579	1.1648896479273925	1.2645905744376782	0.7423917781574741	0.6110093335019504	0.6808376974041114	1.8045842869195132	1.4593045460772667	1.8499219412100791	2.195374856808115	2.1972913678690933	2.003848221448169	0.14898970430657094	0.8375465323741961	0.5868956817910831	0.4817359964237685	0.7640132973176361	0.7887770457034771	0.49374874037912053	0.07036179200237493	0.2909090172918873	0.2802424939232433	0.06043611454845964	0.3297947691087244	0.623248867575275	0.6670922113572991	0.5325049864981607	0.463724602548278	1.6911698885659794	0.09421564341114179	1.441819708672279	1.449430276446812	0.08418096498223385	0.08747457281067039	0.11077997248582337	0.1237559728086531	0.5474492860157532	0.8437357497468849	0.3321881480060404	0.3676134609880041	0.5709700268337455	1.1018375954934059	0.5155168157642183	0.7902129801723722	0.7586337976089985	0.3710970704131037	0.8510665903657306	0.3806421591701647	0.7770737389998713	0.2163628167353138
f	0.5379203683362376	0.6618694317871674	0.5596947605906932	0.501299032737556	1.1751454071418748	13.599996645579122	1.5910460670282027	0.5801403427910434	0.6626546933811931	0.24203600867110367	0.1910673958502891	0.17835578562304616	0.26311498315093845	0.29211053601030873	0.3015416689303177	0.3890363403144512	0.3568092086615819	0.29930803111433024	0.12659927878089366	0.20425452275514192	0.4372622298771926	0.4552405696502111	0.6071099997013867	0.3983201946590343	0.4641465382943778	0.5358354116318937	0.39405348262413886	0.34635448881871933	0.32268838053711657	0.6248042577326448	0.7812701036367256	0.26412444443525346	0.055851312427312436	0.5032482530383678	1.0802254371751994	0.767272366259782	0.5256924676998745	0.2828847615992085	0.40232470996010994	1.0122451589240244	0.7698139569752405	0.750894784497784	1.0872625597630408	0.9408849312780071	1.0463452892893828	0.11513649330142191	0.5158393517493444	0.6096986648171292	0.6405748036787793	0.7759429594128153	0.3714317341642571	0.7674432665821284	0.2321898356069553	0.5424449823342924	0.3968664796674203	0.1108120805677385	0.46141590817374367	0.6487643773853393	0.5924452330662558	0.7482949449022523	1.2744705513796717	1.8233662369155779	0.13842828337140659	0.3430546939965893	0.20722545639724796	0.07437245393307251	0.2782162819941449	1.0581280245101126	0.6560178103396613	0.8471273782866897	0.6348653071699843	0.5274709765253746	1.1538616395440862	0.5961306677419046	0.7579396525776865	0.3378340567071764	2.2432612507361993	1.2973496870825028	0.6684604064775453	0.7739194864617049	0.5022299845170336	0.7773767844326962	0.1928178466166265
g	0.37994029704508686	0.6618704327342496	0.3397242290898742	0.3712864099229885	0.4497283255811197	1.5910460670282027	16.651571748582928	2.0591763271339922	1.4547915219853544	0.4213696599503504	0.12077746146351796	0.1218153846163964	0.13849280528213448	0.22392394858863413	0.16443398870773726	0.3281484763715432	0.22942142889805306	0.22130904693595582	0.13533134353719284	0.1429975920502697	0.7728806325538662	0.2738559754041137	0.4521607569798974	0.3783097142997579	0.14698656797164616	0.3431007462164617	0.2853642984959418	0.23611464893554923	0.23758404320363163	0.2824910029435612	0.3182246811078359	0.16348890685270434	0.01871697188910055	0.8373076006933275	0.313137698973968	0.3324561179631287	0.3882615398641214	0.14222502980577592	0.28969376450517986	0.5096371246620643	0.6569919555617949	0.35513468015774313	0.42397835318095556	0.5712323901989079	0.46044157205582825	0.04583738831093997	0.6802733458322261	0.8075178721558406	0.9116452768379556	0.9885586008180557	0.40854511317692493	1.7188524246782302	1.719260038019588	1.2714851868109662	0.5888819016415543	0.10798934427440178	0.42452896225740644	0.7574251290603923	0.3521555203587989	0.2741876921965641	0.7666021572614864	0.20911300429473945	0.1241499407048232	0.3023546995830432	0.16665316055025958	0.13884744300192822	0.1514938894233562	0.31855273706178044	0.9644772047449373	1.1076566241113486	0.4466219165261451	0.4306636082746741	1.1123075819062023	0.534906707039315	1.866959461991246	1.2754342690499723	1.820088517575852	2.37779743188767	0.792421066808753	1.31297031223317	0.4847235045632359	0.651960538726536	0.12708952757239955
h	0.4526299718941025	0.37503691177569554	0.2916670000819555	0.2587816094099686	0.2692536026912658	0.5801403427910434	2.0591763271339922	23.337167629891198	4.598701625536494	0.5208102065682071	0.09311242295670874	0.049310716985841226	0.0792965390326997	0.1624806848643141	0.14684244685850487	0.17641607600704612	0.13408847633186746	0.17133079042446606	0.15152171392551547	0.047438164978762874	0.32581414152143967	0.04448555078629044	0.5105712171697422	0.10564451713226132	0.7184438933618499	0.07182021386176198	0.27476475526439165	0.1646012757988967	0.13085008878557386	0.35341688203697535	0.33909579893972996	0.26684692215585204	0.02395040329316231	0.24467870018841895	1.5173300944269126	0.22208731119010353	0.33687622107200726	0.12291977701624954	0.1670439782578872	0.28137532919037034	0.23359776557135675	0.1825234874266496	0.5155666287852387	0.3535769544327795	0.22433598631299584	0.10747245582749947	0.4625330340228673	0.4821692410615607	0.44088950166115115	0.5357182916414963	0.20291847418258732	0.8189805554737076	0.6773746107277525	0.9869975251715013	0.4618300538390182	0.08322503979240571	0.37056440896190407	0.4715498345572805	0.44529480933753984	0.8308424358767453	0.3919839421487522	0.10301591914737483	0.03931735470438947	0.28891131603298886	0.09236115966173987	0.061560720765846615	0.03358388466827495	0.07222324415399142	5.760988591803847	0.6133833749277062	0.23239774011478126	0.1494902537826154	0.13155099140925564	0.0911112857281691	0.08483801571777119	0.3343995373398239	0.2002029096039605	0.5573089945157947	0.5773540585584993	0.6858056667371134	0.4306281438429124	0.5380567122783795	0.09363810422964117
i	0.6292440760559569	0.5895255783442166	0.32206282686499066	0.25959727206597194	0.3994313557182762	0.6626546933811931	1.4547915219853544	4.598701625536494	45.42212629052146	4.038639814587756	0.11123399980675079	0.11687023327613458	0.13046218328573486	0.21117302189244766	0.38246887768469157	0.30467106834039615	0.2228603954864598	0.22676273849869974	0.14136038709009835	0.05619554510479114	0.5143993308238252	0.08593665616192177	0.3082235577097483	0.1897795773343033	0.15062716526107103	0.2368076652411569	0.4039096990385634	0.19565881557858816	0.10945335950387267	0.39012387140203164	0.2558171590575339	0.12899939497772991	0.2572113954234706	1.8102617866302297	0.2975941783790841	0.17358898153833485	0.4576622204093301	0.3016006008314085	0.27147236324663027	0.5005119024205468	0.6810805271402004	0.337295646198344	0.4650325624171681	0.40069424179452473	0.6497534209317831	0.02458857265676047	0.48310347622198957	0.5183895459774029	0.44260432041500847	0.7969266681023123	0.2888972369894885	0.7525986273595722	0.4198873564153307	0.7344235514621543	2.116853917686851	0.25158387850353636	0.47444375655954313	0.7841468137586418	0.2390998997125194	0.48067968308163245	0.4152551074881462	0.3236901067544402	0.12911975429327074	0.16867488633544675	0.3370196848307068	0.5615773661363843	0.7352720733094973	0.029281975563674532	0.6501482930102431	0.8971970772826376	0.48049219149421696	0.508587560599696	0.5060683936719225	0.24810371535030432	0.570576749653115	2.6288894367137225	1.0114989322621841	0.6052330922232722	0.6412637064457083	0.9471857163832785	0.7601832112472869	0.9662612886146367	0.16784266298865547
=	0.21423513500032215	0.24021838448157753	0.1595861989003883	0.10886598745252198	0.11301197977013439	0.24203600867110367	0.4213696599503504	0.5208102065682071	4.038639814587756	17.565161599471033	0.02879871865905646	0.03260599081233684	0.061786723059774167	0.0942608148758982	0.03547831841959154	0.0653430013602166	0.10649121378217337	0.04227343650065673	0.02120693763716179	0.011635457448162231	0.3527884947591326	0.047194565007778425	0.050228959897987695	0.29535712331455266	0.04287192760568701	0.08218574428968214	0.2095297589213594	0.11230588710512877	0.040839687843222075	0.16653338210299606	0.10837335956615904	0.07299980834125654	0.006830696808975979	0.09130012120802103	0.10931292732941979	0.041024259905145515	0.23577224300249827	0.07754351276289069	0.09359583591593808	0.14116984298267626	0.17779588551101438	0.15986289599180206	0.07793118126857995	0.05679435179596214	0.07091412985868469	0.011528693295622183	0.2680082006982357	0.1861280833777255	0.15583054401336102	0.21953842200755502	0.09054473575801132	0.2141158655697047	0.05570883290582752	0.23601815162886286	0.3238908739341437	0.3807342442816187	0.22066199415780288	0.23704899420123374	0.18770857844915162	0.27816748323246443	0.5636780874924048	0.050486871531246494	0.03699641457834167	0.04077849172977591	0.01357953035097887	0.00905105218610896	0.01975087289188862	0.004719433241453323	0.10478567128213388	0.2687141435959878	0.18690698952402648	0.2794626620107579	0.05757461100783205	0.05838154675557798	0.033262478544749334	0.05116416596755917	0.22189549301163355	0.3004435297614729	0.2907954448692301	0.34832717189840273	0.476645401292838	0.6098352566065575	0.03775984123754596
